City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,sao vicente,-23.9631,-46.3919,71.94,26,99,5.01,BR,1728599598
384,menaka,15.9182,2.4022,92.84,22,27,8.08,ML,1728599707
385,pisco,-13.7,-76.2167,68.05,73,0,18.41,PE,1728599708
386,lashkar gah,31.5938,64.3716,65.26,23,0,2.06,AF,1728599710
387,yeppoon,-23.1333,150.7333,71.38,78,86,16.62,AU,1728599713
388,sao felipe,-14.8167,-41.3833,82.17,50,99,5.5,BR,1728599714
389,tavricheskoye,54.5851,73.6395,32.49,66,100,21.72,RU,1728599715
390,el calafate,-50.3408,-72.2768,43.81,69,64,9.04,AR,1728599716
391,whakatane,-37.9585,176.9854,64.51,69,90,5.99,NZ,1728599717
392,mahdia,35.5047,11.0622,74.97,75,39,14.58,TN,1728599719
393,raja,8.4596,25.678,70.11,95,31,3.62,SS,1728599720
394,port saint john's,-31.6229,29.5448,67.55,91,75,16.33,ZA,1728599721
395,sheridan,44.8333,-106.9173,76.46,28,100,3.44,US,1728599615
396,bangassou,4.7413,22.8184,68.52,98,23,1.83,CF,1728599723
397,bocas del toro,9.3333,-82.25,75.52,91,100,10.63,PA,1728599724
398,molchanovo,57.5817,83.7692,22.96,75,44,4.16,RU,1728599726
399,prokop'yevsk,53.9059,86.719,31.35,80,100,6.67,RU,1728599727
400,qamdo,31.1667,97.2333,41.68,70,100,0.76,CN,1728599728
401,dwarka,22.2394,68.9678,78.31,68,46,9.04,IN,1728599729
402,upington,-28.4478,21.2561,73.78,18,39,3.44,ZA,1728599730
403,mountain home,43.133,-115.6912,72.01,35,75,9.22,US,1728599605
404,hasaki,35.7333,140.8333,67.78,69,100,13.06,JP,1728599733
405,thunder bay,48.4001,-89.3168,60.78,55,100,8.05,CA,1728599642
406,sur,22.5667,59.5289,82.62,56,2,5.03,OM,1728599481
407,broome,42.2506,-75.833,48.33,68,100,10.36,US,1728599736
408,santa cruz,-17.8,-63.1667,81.86,78,20,13.8,BO,1728599737
409,port pirie,-33.1833,138.0167,59.54,40,96,13.18,AU,1728599739
410,merizo village,13.2658,144.6691,84.38,86,92,6.17,GU,1728599741
411,waddan,29.1614,16.139,88.77,21,87,4.25,LY,1728599742
412,port douglas,-16.4833,145.4667,77.58,76,70,10.25,AU,1728599743
413,lerwick,60.1545,-1.1494,42.28,63,75,9.75,GB,1728599744
414,ilha de mocambique,-15.0342,40.7358,74.53,77,0,8.97,MZ,1728599745
415,mil'kovo,55.6078,37.7956,48.31,73,28,8.75,RU,1728599746
416,puerto cabezas,14.0351,-83.3888,84.16,74,40,9.22,NI,1728599748
417,pacific grove,36.6177,-121.9166,69.37,85,0,5.75,US,1728599735
418,harstad,68.799,16.5293,41.16,91,100,14.0,NO,1728599750
419,santiago de cao,-7.9589,-79.2392,64.53,82,72,12.66,PE,1728599751
420,zhumysker,49.3333,49.4,44.56,81,4,10.51,KZ,1728599752
421,lobito,-12.3481,13.5456,74.55,82,8,3.67,AO,1728599753
422,zapala,-38.8992,-70.0544,57.36,47,16,29.06,AR,1728599755
423,micheweni,-4.9667,39.8333,75.81,85,0,10.16,TZ,1728599756
424,concordia,-31.393,-58.0209,66.27,86,75,3.44,AR,1728599547
425,minas de marcona,-15.2119,-75.1103,55.26,82,32,16.84,PE,1728599758
426,toledo,39.8333,-4.0,57.56,59,41,5.32,ES,1728599747
427,the pas,53.8251,-101.2541,55.42,62,100,6.91,CA,1728599761
428,padang,-0.9492,100.3543,75.25,93,100,4.54,ID,1728599563
429,hiratacho,35.4333,132.8167,55.36,100,7,6.91,JP,1728599763
430,buka,40.8108,69.1986,67.05,36,100,3.96,UZ,1728599764
431,zhezqazghan,47.7833,67.7667,51.94,81,100,10.31,KZ,1728599765
432,warren,39.4334,-84.1666,67.53,47,0,0.0,US,1728599717
433,mishkino,55.3389,63.9175,27.19,95,100,19.3,RU,1728599768
434,campos novos,-27.4017,-51.225,58.66,99,100,7.34,BR,1728599769
435,nurota,40.5614,65.6886,66.63,44,19,15.93,UZ,1728599770
436,yabassi,4.457,9.9682,74.43,97,42,0.94,CM,1728599771
